name,type,manufacturer,first_flight,status,range_km,cruise_speed_kmh,max_speed_kmh,capacity_passengers,crew,length_m,wingspan_m,era,mission,key_features,design_philosophy,short_description
La-17,aircraft,NPO Lavochkin,1963,Active,,,,,,,,Various,aircraft,target drone family,Wikipedia-sourced via Wikidata,target drone family
FSS-100,aircraft,,1962,Active,,,,,,,,Various,aircraft,Aircraft: FSS-100. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: FSS-100. Source: Wikidata (links to Wikipedia).
Karrar,aircraft,,,Active,1000,,,,,4,,Various,aircraft,Iranian military unmanned aerial vehicle,Wikipedia-sourced via Wikidata,Iranian military unmanned aerial vehicle
DARPA Vulture,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: DARPA Vulture. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: DARPA Vulture. Source: Wikidata (links to Wikipedia).
Evo Morales grounding incident,transport,,,Active,,,,,,,,Various,transport,2013 aviation incident in Europe,Wikipedia-sourced via Wikidata,2013 aviation incident in Europe
Pilgrim 100-B N709Y,aircraft,Fairchild,,Active,,,,,,,,Various,aircraft,Aircraft: Pilgrim 100-B N709Y. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Pilgrim 100-B N709Y. Source: Wikidata (links to Wikipedia).
A51,aircraft,,,Active,,,,,,,,Various,aircraft,Wright Model K,Wikipedia-sourced via Wikidata,Wright Model K
Granat-1,aircraft,,,Active,,,,,,,,Various,aircraft,Russian UAV adapted for reconnaissance,Wikipedia-sourced via Wikidata,Russian UAV adapted for reconnaissance
WingtraOne,aircraft,Wingtra,,Active,,,,,,,1.25,Various,aircraft,drone by Wingtra AG,Wikipedia-sourced via Wikidata,drone by Wingtra AG
Facebook Aquila,aircraft,Meta,,Active,,,,,,,,Various,aircraft,experimental solar-powered drone,Wikipedia-sourced via Wikidata,experimental solar-powered drone
Nauru 500A,aircraft,XMobots,,Active,,,,,,,,Various,aircraft,UAV by XMobots,Wikipedia-sourced via Wikidata,UAV by XMobots
DJI Spark,aircraft,DJI,,Active,,,,,,,,Various,aircraft,unmanned aerial photography and videography drone,Wikipedia-sourced via Wikidata,unmanned aerial photography and videography drone
Xmobots Echar 20A,aircraft,XMobots,,Active,,,,,,,,Various,aircraft,Aircraft: Xmobots Echar 20A. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Xmobots Echar 20A. Source: Wikidata (links to Wikipedia).
Granat-4,aircraft,,,Active,,,,,,,,Various,aircraft,drone designed for reconnaissance and electronic warfare,Wikipedia-sourced via Wikidata,drone designed for reconnaissance and electronic warfare
Shahed 171,aircraft,,2014,Active,4400,,460,,,,,Various,aircraft,Iranian unmanned aerial vehicle,Wikipedia-sourced via Wikidata,Iranian unmanned aerial vehicle
Kratos XQ-58 Valkyrie,aircraft,Kratos Defense & Security Solutions,2019,Active,,,,,,,,Various,aircraft,2010s American UAV,Wikipedia-sourced via Wikidata,2010s American UAV
MIT EAD Airframe Version 2,aircraft,Massachusetts Institute of Technology,2018,Active,,,,,,,5,Various,aircraft,Ionocraft,Wikipedia-sourced via Wikidata,Ionocraft
Brunswick-Balke-Collender OQ-4,aircraft,,,Prototype,,,,,,,,Various,aircraft,prototype drone built in the United States by the Brunswick-Balke-Collender corporation,Wikipedia-sourced via Wikidata,prototype drone built in the United States by the Brunswick-Balke-Collender corporation
Boeing MQ-28 Ghost Bat,aircraft,Boeing Australia,2022,Active,3700,,,,,11.7,,Various,aircraft,"future UAV (""drone"") in development by Boeing",Wikipedia-sourced via Wikidata,"future UAV (""drone"") in development by Boeing"
BAE Systems MAGMA,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: BAE Systems MAGMA. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: BAE Systems MAGMA. Source: Wikidata (links to Wikipedia).
Thales Spy Ranger,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Thales Spy Ranger. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Thales Spy Ranger. Source: Wikidata (links to Wikipedia).
Resolute Eagle,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Resolute Eagle. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Resolute Eagle. Source: Wikidata (links to Wikipedia).
TAI Aksungur,aircraft,Turkish Aerospace Industries,2019,Active,,,,,,,,Various,aircraft,Turkish unmanned aerial vehicle,Wikipedia-sourced via Wikidata,Turkish unmanned aerial vehicle
Advanced Technology Research Aircraft,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Advanced Technology Research Aircraft. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Advanced Technology Research Aircraft. Source: Wikidata (links to Wikipedia).
Orlan-30,aircraft,,,Active,,,,,,,,Various,aircraft,Russian reconnaissance drone,Wikipedia-sourced via Wikidata,Russian reconnaissance drone
Samavat,aircraft,,,Active,,,,,,,,Various,aircraft,Iranian cloud seeding drone,Wikipedia-sourced via Wikidata,Iranian cloud seeding drone
Shahed 181,aircraft,,,Active,,,,,,,,Various,aircraft,Iranian unmanned aerial vehicle,Wikipedia-sourced via Wikidata,Iranian unmanned aerial vehicle
BAS-200,aircraft,Rostec,2021,Active,,,,,,,,Various,aircraft,Russian drone in a helicopter layout,Wikipedia-sourced via Wikidata,Russian drone in a helicopter layout
BAS-750,aircraft,,,Active,,,,,,,,Various,aircraft,Russian drone in a helicopter layout,Wikipedia-sourced via Wikidata,Russian drone in a helicopter layout
Helios-RLD,aircraft,,,Active,,,,,,,,Various,aircraft,Russian reconnaissance drone,Wikipedia-sourced via Wikidata,Russian reconnaissance drone
ZALA 421-24,aircraft,ZALA Aero,2021,Active,,,,,,,,Various,aircraft,Russian reconnaissance drone,Wikipedia-sourced via Wikidata,Russian reconnaissance drone
А-03 Nart,aircraft,,2008,Active,,,,,,,,Various,aircraft,Russian multi-role drone,Wikipedia-sourced via Wikidata,Russian multi-role drone
Aerob 4D,aircraft,,,Active,,,,,,,,Various,aircraft,Russian multi-role drone,Wikipedia-sourced via Wikidata,Russian multi-role drone
Aist,aircraft,,,Active,,,,,,,,Various,aircraft,Russian drone,Wikipedia-sourced via Wikidata,Russian drone
Irkut-3,aircraft,,2009,Active,,,,,,,,Various,aircraft,Russian surveillance drone,Wikipedia-sourced via Wikidata,Russian surveillance drone
Shahed 101,aircraft,,,Active,,,,,,,,Various,aircraft,Iranian unmanned aerial military vehicle,Wikipedia-sourced via Wikidata,Iranian unmanned aerial military vehicle
Filin-2,aircraft,Transas,,Active,,,,,,,,Various,aircraft,Russian surveillance drone,Wikipedia-sourced via Wikidata,Russian surveillance drone
Mohajer 10,aircraft,,,Active,,,,,,,,Various,aircraft,2023 Iranian long range strike drone,Wikipedia-sourced via Wikidata,2023 Iranian long range strike drone
Hero drones,aircraft,Rheinmetall AG,,Active,,,,,,,,Various,aircraft,Aircraft: Hero drones. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Hero drones. Source: Wikidata (links to Wikipedia).
Irkut-10,aircraft,,,Active,,,,,,,,Various,aircraft,Russian surveillance drone,Wikipedia-sourced via Wikidata,Russian surveillance drone
Irkut-850,aircraft,,2005,Active,,,,,,,,Various,aircraft,Russian reconnaissance drone,Wikipedia-sourced via Wikidata,Russian reconnaissance drone
Irkut-2M,aircraft,Irkutsk Aviation Plant,2008,Active,,,,,,,,Various,aircraft,Russian reconnaissance drone,Wikipedia-sourced via Wikidata,Russian reconnaissance drone
Saetbyol-4,aircraft,,,Active,,,,,,,,Various,aircraft,North Korea's unmanned surveillance aircraft,Wikipedia-sourced via Wikidata,North Korea's unmanned surveillance aircraft
V-BAT,aircraft,Shield AI,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
T7-DSD,aircraft,,,Active,,,,,,,,Various,aircraft,Gulfstream G150 aircraft with c/n 326,Wikipedia-sourced via Wikidata,Gulfstream G150 aircraft with c/n 326
T7-IGOR,aircraft,,,Active,,,,,,,,Various,aircraft,Gulfstream G150 aircraft with c/n 243,Wikipedia-sourced via Wikidata,Gulfstream G150 aircraft with c/n 243
Tatra T.101,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Mitsubishi J4M,aircraft,,,Active,,,,,,,,Various,aircraft,Japanese fighter proposal,Wikipedia-sourced via Wikidata,Japanese fighter proposal
Akaflieg München Mü13,aircraft,Akaflieg München,,Active,,,,,,,,Various,aircraft,"German single-seat glider, 1935",Wikipedia-sourced via Wikidata,"German single-seat glider, 1935"
Lituanica,aircraft,,,Active,,,,,,,,Various,aircraft,airplane flown from the United States across the Atlantic Ocean,Wikipedia-sourced via Wikidata,airplane flown from the United States across the Atlantic Ocean
Utva Trojka,aircraft,Utva Aviation Industry,,Active,,,,,,,,Various,aircraft,Yugoslav light aircraft,Wikipedia-sourced via Wikidata,Yugoslav light aircraft
Sukhoi-Gulfstream S-21,aircraft,Sukhoi,,Active,,,,,,,,Various,aircraft,proposed supersonic business jet,Wikipedia-sourced via Wikidata,proposed supersonic business jet
Northrop N-9M,aircraft,Northrop,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
PZL Bielsko SZD-9,aircraft,,,Active,,,,,,,,Various,aircraft,glider,Wikipedia-sourced via Wikidata,glider
Zmaj Fizir FN,aircraft,Zmaj aircraft,1929,Retired,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Avro Avocet,aircraft,Avro,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Stearman XBT-17,aircraft,Stearman Aircraft,,Active,,,,,,,,Various,aircraft,1940s American prototype trainer aircraft,Wikipedia-sourced via Wikidata,1940s American prototype trainer aircraft
CAC Ceres,aircraft,Commonwealth Aircraft Corporation,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Vickers Type 123,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
De Havilland DH.93 Don,aircraft,de Havilland Aircraft Company,1937,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Hawker Woodcock,aircraft,Hawker Aircraft,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
de Havilland DH.71 Tiger Moth,aircraft,de Havilland Aircraft Company,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
DFS Kranich,aircraft,Deutsche Forschungsanstalt für Segelflug,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
DFS Habicht,aircraft,Deutsche Forschungsanstalt für Segelflug,,Active,,,,,,,,Various,aircraft,"German single-seat aerobatic glider, 1936",Wikipedia-sourced via Wikidata,"German single-seat aerobatic glider, 1936"
Fieseler Fi 333,aircraft,Fieseler,,Active,,,,,,,,Various,aircraft,German transport aircraft project,Wikipedia-sourced via Wikidata,German transport aircraft project
Caproni PS.1,aircraft,Caproni,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Tupolev Tu-244,aircraft,Tupolev,,Active,,,,,,,,Various,aircraft,proposed supersonic transport aircraft,Wikipedia-sourced via Wikidata,proposed supersonic transport aircraft
Airspeed Viceroy,aircraft,Airspeed Ltd.,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
HPT-32 Deepak,aircraft,Hindustan Aeronautics Limited,,Active,,,,,,7.7,9.5,Various,aircraft,1977 trainer aircraft family by Hindustan Aeronautics Ltd,Wikipedia-sourced via Wikidata,1977 trainer aircraft family by Hindustan Aeronautics Ltd
2037 Bomber,aircraft,,,Active,,,,,,,,Various,aircraft,"nicknamed ""B-4"", in series with ""B-3"" (the NGB or LRS-B) and ""B-2 stealth bomber""",Wikipedia-sourced via Wikidata,"nicknamed ""B-4"", in series with ""B-3"" (the NGB or LRS-B) and ""B-2 stealth bomber"""
Scheibe Falke,aircraft,Scheibe Flugzeugbau,,Active,,,,,,,,Various,aircraft,"German touring motor glider, 1963",Wikipedia-sourced via Wikidata,"German touring motor glider, 1963"
Phönix D.I,aircraft,Phönix,1917,Active,,,180,,,6.65,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Avro 531 Spider,aircraft,Avro,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Type E,aircraft,Avro,1912,Active,,,,,,,,Various,aircraft,1912 military utility aircraft series by Avro,Wikipedia-sourced via Wikidata,1912 military utility aircraft series by Avro
Advanced Medium STOL Transport,aircraft,McDonnell Douglas,,Active,,,,,,,,Various,aircraft,Military aircraft project,Wikipedia-sourced via Wikidata,Military aircraft project
RediGO,aircraft,Valmet,1985,Active,,,,,,7.9,10.34,Various,aircraft,1986 trainer aircraft family by Valmet,Wikipedia-sourced via Wikidata,1986 trainer aircraft family by Valmet
Lippisch Ente,aircraft,Alexander Lippisch,1928,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Breezer Breezer,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
PWS-10,aircraft,Podlaska Wytwórnia Samolotów,,Active,,,,,,,,Various,aircraft,Polish fighter aircraft,Wikipedia-sourced via Wikidata,Polish fighter aircraft
Ilyushin Il-108,aircraft,Ilyushin,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Lim-6,aircraft,Russian Aircraft Corporation MiG,,Active,,,,,,,,Various,aircraft,Polish attack aircraft,Wikipedia-sourced via Wikidata,Polish attack aircraft
Air Jelly,aircraft,Bionic Learning Network,,Active,,,,,,,,Various,aircraft,"bionics project, which was developed as part of Festo's Bionic Learning Network",Wikipedia-sourced via Wikidata,"bionics project, which was developed as part of Festo's Bionic Learning Network"
Akaflieg München Mü3 Kakadu,aircraft,Akaflieg München,,Active,,,,,,,,Various,aircraft,"German single-seat glider, 1928",Wikipedia-sourced via Wikidata,"German single-seat glider, 1928"
Boeing Pelican,aircraft,Boeing,,Active,,,,,,,,Various,aircraft,proposed ground effect fixed-wing aircraft under study,Wikipedia-sourced via Wikidata,proposed ground effect fixed-wing aircraft under study
Macchi M.26,aircraft,Alenia Aermacchi,,Active,,,,,,,,Various,aircraft,Italian flying boat prototype,Wikipedia-sourced via Wikidata,Italian flying boat prototype
Morane-Saulnier MS.315,aircraft,Morane-Saulnier,1932,Active,,,,,,,,Various,aircraft,French monoplane,Wikipedia-sourced via Wikidata,French monoplane
Caproni Ca.335,aircraft,Caproni,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Hawker Hotspur,aircraft,Hawker Siddeley,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
SNCASE SE.100,aircraft,SNCASE,,Active,,,,,,,,Various,aircraft,French prototype of heavy fighter,Wikipedia-sourced via Wikidata,French prototype of heavy fighter
Alenia Aermacchi Molynx,aircraft,Alenia Aeronautica,,Active,,,,,,,,Various,aircraft,Aircraft: Alenia Aermacchi Molynx. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Alenia Aermacchi Molynx. Source: Wikidata (links to Wikipedia).
Supermarine Type 322,aircraft,Supermarine,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Kokusai Ku-7,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Stinson Model O,aircraft,Stinson,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Cessna Citation Columbus,aircraft,Cessna,,Active,,,,,,,,Various,aircraft,cancelled American business jet project,Wikipedia-sourced via Wikidata,cancelled American business jet project
Armstrong Whitworth AW.23,aircraft,Armstrong Whitworth Aircraft,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Chase YCG-14,aircraft,Chase Aircraft,,Active,,,,,,,,Various,aircraft,"assault glider, U.S. Army Air Forces, 1945",Wikipedia-sourced via Wikidata,"assault glider, U.S. Army Air Forces, 1945"
14-bis,aircraft,Alberto Santos-Dumont,1905,Active,,,,1,,382,441,Various,aircraft,experimental airplane created by Alberto Santos-Dumont,Wikipedia-sourced via Wikidata,experimental airplane created by Alberto Santos-Dumont
Argus As 292,aircraft,Argus Motoren,,Active,,,,,,,,Various,aircraft,Early German UAV,Wikipedia-sourced via Wikidata,Early German UAV
LWD Żuraw,aircraft,Lotnicze Warsztaty Doświadczalne,,Active,,,,,,,,Various,aircraft,1950s Polish utility aircraft,Wikipedia-sourced via Wikidata,1950s Polish utility aircraft
SZD-45 Ogar,aircraft,PZL,,Active,,,,,,,,Various,aircraft,Polish moto-glider,Wikipedia-sourced via Wikidata,Polish moto-glider
Piper PA-36 Pawnee Brave,aircraft,Piper Aircraft,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
LVG C.VI,aircraft,LVG,,Active,,,,,,,,Various,aircraft,reconnaissance and artillery spotting aircraft,Wikipedia-sourced via Wikidata,reconnaissance and artillery spotting aircraft
Bartel BM-5,trainer,Samolot,1928,Active,,,,,,,,Various,trainer,Polish advanced trainer aircraft,Wikipedia-sourced via Wikidata,Polish advanced trainer aircraft
Hawker Hornbill,aircraft,Hawker Aircraft,,Active,,,,,,,,Various,aircraft,aircraft,Wikipedia-sourced via Wikidata,aircraft
Fieseler Fi 98,aircraft,Fieseler,,Active,,,,,,,,Various,aircraft,aircraft by Fieseler,Wikipedia-sourced via Wikidata,aircraft by Fieseler
SSSR-V6 OSOAVIAKhIM,aircraft,,1934,Active,,,,,,104.5,,Various,aircraft,Soviet airship,Wikipedia-sourced via Wikidata,Soviet airship
USS Akron,aircraft,Goodyear Aerospace,,Active,5940,,,,,239.3,,Various,aircraft,helium-filled rigid airship of the U.S. Navy,Wikipedia-sourced via Wikidata,helium-filled rigid airship of the U.S. Navy
Italia,aircraft,,,Active,,,,,,,,Various,aircraft,semi-rigid airship,Wikipedia-sourced via Wikidata,semi-rigid airship
Norge,aircraft,,1924,Active,,,,,,,,Various,aircraft,Italian polar-expedition airship,Wikipedia-sourced via Wikidata,Italian polar-expedition airship
LZ 128,aircraft,Luftschiffbau Zeppelin,,Active,,,,,,,,Various,aircraft,Planned Airship,Wikipedia-sourced via Wikidata,Planned Airship
Siemens-Schuckert I,aircraft,Siemens-Schuckert,1911,Active,,,,,,,,Various,aircraft,German airship built in 1911,Wikipedia-sourced via Wikidata,German airship built in 1911
JetLev,aircraft,,,Active,,,,,,,,Various,aircraft,First ever hydroflight jetpack,Wikipedia-sourced via Wikidata,First ever hydroflight jetpack
R80,aircraft,Vickers,,Active,,,,,,,,Various,aircraft,airship,Wikipedia-sourced via Wikidata,airship
Kettering Bug,aircraft,Dayton-Wright,1918,Active,,,,,,,,Various,aircraft,experimental unmanned aerial torpedo,Wikipedia-sourced via Wikidata,experimental unmanned aerial torpedo
Dixmude,aircraft,Luftschiffbau Zeppelin,,Active,,,,,,,,Various,aircraft,Zeppelin LZ 114 airship which served in the French Navy,Wikipedia-sourced via Wikidata,Zeppelin LZ 114 airship which served in the French Navy
LZ 121 Nordstern,aircraft,Luftschiffbau Zeppelin,1921,Active,,,,,,131,,Various,aircraft,passenger airship,Wikipedia-sourced via Wikidata,passenger airship
LZ 120 Bodensee,aircraft,Luftschiffbau Zeppelin,1919,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
LZ 132,aircraft,Luftschiffbau Zeppelin,,Active,,,,,,,,Various,aircraft,Planned Airship,Wikipedia-sourced via Wikidata,Planned Airship
USS Los Angeles,aircraft,Luftschiffbau Zeppelin,1924,Retired,5770,113,,,,200.7,,Various,aircraft,rigid airship ZR-3 (1924),Wikipedia-sourced via Wikidata,rigid airship ZR-3 (1924)
LZ 62,aircraft,Luftschiffbau Zeppelin,,Active,,,,,,,,Various,aircraft,German military airship used in World War I,Wikipedia-sourced via Wikidata,German military airship used in World War I
EADS Orka,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: EADS Orka. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: EADS Orka. Source: Wikidata (links to Wikipedia).
Desert Hawk,aircraft,Lockheed Martin,,Active,,,,,,,,Various,aircraft,unmanned aerial vehicle by Lockheed Martin,Wikipedia-sourced via Wikidata,unmanned aerial vehicle by Lockheed Martin
EADS Tracker,aircraft,Cassidian,,Active,,,,,,,,Various,aircraft,Aircraft: EADS Tracker. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: EADS Tracker. Source: Wikidata (links to Wikipedia).
Yakovlev Yak-100,aircraft,Yakovlev,1949,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
HYFLEX,aircraft,,,Active,,,,,,,,Various,aircraft,Japanese prototype of 1996 for testing atmospheric reentry,Wikipedia-sourced via Wikidata,Japanese prototype of 1996 for testing atmospheric reentry
Denel Dynamics Seeker,aircraft,Denel Dynamics,,Retired,,,,,,,,Various,aircraft,South African unmanned airborne vehicle,Wikipedia-sourced via Wikidata,South African unmanned airborne vehicle
Klemm Kl 106,aircraft,Klemm,1937,Active,,,,,,,,Various,aircraft,Aircraft,Wikipedia-sourced via Wikidata,Aircraft
Northrop Grumman Switchblade,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
ZALA 421-06,aircraft,ZALA Aero,,Active,,,,,,,,Various,aircraft,Russian drone in a helicopter layout,Wikipedia-sourced via Wikidata,Russian drone in a helicopter layout
GrANT,aircraft,,2001,Active,,,,,,,,Various,aircraft,Russian unmanned aerial vehicle,Wikipedia-sourced via Wikidata,Russian unmanned aerial vehicle
Transas Dozor 600,aircraft,Transas,2010,Active,,,,,,,,Various,aircraft,Russian MALE-class drone,Wikipedia-sourced via Wikidata,Russian MALE-class drone
Krunk UAV,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
PS-01 Komar,aircraft,,1980,Active,,,,,,,,Various,aircraft,Soviet experimental drone for military purposes,Wikipedia-sourced via Wikidata,Soviet experimental drone for military purposes
USSR-B10,aircraft,,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Thermoplan,aircraft,Ulyanovsk Aviation Industrial Complex,1992,Active,,,,,,,,Various,aircraft,experimental prototype of hybrid airship,Wikipedia-sourced via Wikidata,experimental prototype of hybrid airship
Yakovlev Yak-201,aircraft,Yakovlev,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Aeryon Scout,aircraft,Aeryon Labs,,Retired,,,,,,,,Various,aircraft,police and army drone,Wikipedia-sourced via Wikidata,police and army drone
Air-tractor sledge,aircraft,,,Active,,,,,,,,Various,aircraft,First plane taken to Antarctica,Wikipedia-sourced via Wikidata,First plane taken to Antarctica
Akashdeep Aerostat,aircraft,,,Active,,,,,,,,Various,aircraft,Aerostat developed by DRDO,Wikipedia-sourced via Wikidata,Aerostat developed by DRDO
America,aircraft,,,Active,,,,,,,,Various,aircraft,1906 non-rigid airship by Mutin Godard,Wikipedia-sourced via Wikidata,1906 non-rigid airship by Mutin Godard
C-5,aircraft,Goodyear Aerospace,,Active,,,,,,,,Various,aircraft,American blimp,Wikipedia-sourced via Wikidata,American blimp
Elbit Hermes 90,aircraft,Elbit Systems Ltd.,,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
EosXi,aircraft,,,Active,,,,,,,,Various,aircraft,Italian unmanned hybrid airship,Wikipedia-sourced via Wikidata,Italian unmanned hybrid airship
G-BBDG,aircraft,British Aircraft Corporation,1974,Active,,,,,,,,Various,aircraft,one Concorde aircraft built for evaluation testing,Wikipedia-sourced via Wikidata,one Concorde aircraft built for evaluation testing
Ghods Mohajer,reconnaissance,Ghods Aviation Industries,,Active,,,,,,,,Various,reconnaissance,Iranian tactical UAV (1980s),Wikipedia-sourced via Wikidata,Iranian tactical UAV (1980s)
Pegasus,aircraft,,1982,Active,,,,,,,,Various,aircraft,unmanned aerial vehicle family,Wikipedia-sourced via Wikidata,unmanned aerial vehicle family
HNoMS Start,aircraft,,1910,Active,,,,,,,,Various,aircraft,Aircraft: HNoMS Start. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: HNoMS Start. Source: Wikidata (links to Wikipedia).
Heinkel HE 18,aircraft,Heinkel,1925,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
Hopfner HS-8/29,aircraft,,1929,Active,650,,140,,,7.7,11.26,Various,aircraft,utility Aircraft,Wikipedia-sourced via Wikidata,utility Aircraft
Super X,aircraft,,,Active,,,,,,,,Various,aircraft,fictional Japanese military aircraft,Wikipedia-sourced via Wikidata,fictional Japanese military aircraft
Insectothopter,aircraft,,,Active,,,,,,,,Various,aircraft,American unmanned aerial vehicle,Wikipedia-sourced via Wikidata,American unmanned aerial vehicle
LZ 61,aircraft,Luftschiffbau Zeppelin,,Active,,,,,,,,Various,aircraft,World War I German Navy airship,Wikipedia-sourced via Wikidata,World War I German Navy airship
SIERRA-B,aircraft,,,Active,527,,59,,,3.92,6.1,Various,aircraft,NASA research UAV,Wikipedia-sourced via Wikidata,NASA research UAV
US battlefield UAVs,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: US battlefield UAVs. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: US battlefield UAVs. Source: Wikidata (links to Wikipedia).
Yakovlev AIR-7,aircraft,Yakovlev,1932,Active,,,,,,,,Various,aircraft,type of aircraft,Wikipedia-sourced via Wikidata,type of aircraft
ZALA 421-12,aircraft,ZALA Aero,,Active,,,,,,,,Various,aircraft,micro air vehicle,Wikipedia-sourced via Wikidata,micro air vehicle
LZ 54,aircraft,Luftschiffbau Zeppelin,,Active,,,,,,,,Various,aircraft,Zeppelin belonging to the Imperial German Navy that crashed in the North Sea.,Wikipedia-sourced via Wikidata,Zeppelin belonging to the Imperial German Navy that crashed in the North Sea.
ALFLEX,aircraft,,1996,Retired,,,,,,,,Various,aircraft,Japanese experimental unmanned aircraft in the HOPE programme,Wikipedia-sourced via Wikidata,Japanese experimental unmanned aircraft in the HOPE programme
ASN-105B,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: ASN-105B. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: ASN-105B. Source: Wikidata (links to Wikipedia).
ASN-15,aircraft,,,Active,,,,,,,,Various,aircraft,Chinese unmanned aerial vehicle,Wikipedia-sourced via Wikidata,Chinese unmanned aerial vehicle
Filur,aircraft,Saab Group,,Active,,,,,,,,Various,aircraft,Drone (airplane) from SAAB,Wikipedia-sourced via Wikidata,Drone (airplane) from SAAB
Kamov Ka-135,aircraft,,,Active,,,,,,,,Various,aircraft,Aircraft: Kamov Ka-135. Source: Wikidata (links to Wikipedia).,Wikipedia-sourced via Wikidata,Aircraft: Kamov Ka-135. Source: Wikidata (links to Wikipedia).
